"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Toxicity"
"6012","Negative Regulation of Protein Serine/Threonine Kinase Activity (GO:0071901)","7/46",0.696886494855543,0.929689985377108,0,0,0.86559224259837,0.312593689298548,"PYCARD;PTPN1;LRP5;CDK5RAP1;APOE;CDK5RAP3;LRP6","Low"
"6013","Peptidyl-Tyrosine Modification (GO:0018212)","7/46",0.696886494855543,0.929689985377108,0,0,0.86559224259837,0.312593689298548,"PDGFRB;SRC;INSR;ERBB2;ABL2;EGFR;FGFR2","Low"
"6014","Positive Regulation of Chemotaxis (GO:0050921)","7/46",0.696886494855543,0.929689985377108,0,0,0.86559224259837,0.312593689298548,"PDGFRB;TMSB4X;HSPB1;STX3;IL6R;PPM1F;VEGFA","Low"
"6015","Regulation of Cell-Cell Adhesion (GO:0022407)","7/46",0.696886494855543,0.929689985377108,0,0,0.86559224259837,0.312593689298548,"DPP4;PKHD1;AFDN;CITED2;SRC;ADAM8;FSTL3","Low"
"6016","Regulation of Cell-Substrate Adhesion (GO:0010810)","7/46",0.696886494855543,0.929689985377108,0,0,0.86559224259837,0.312593689298548,"PKHD1;NOTCH1;PKP2;RSU1;PPM1F;RHOA;LIMS1","Low"
"6017","Cytoskeleton-Dependent Cytokinesis (GO:0061640)","13/84",0.70364156098018,0.929689985377108,0,0,0.882844568139618,0.310307681402578,"LUZP1;IST1;VPS4A;RHOC;RHOA;RHOB;CECR2;SON;VPS72;JTB;MYH14;EXOC2;SPTBN1","Low"
"6018","Cytokine-Mediated Signaling Pathway (GO:0019221)","41/255",0.704037313459314,0.929689985377108,0,0,0.923330331000328,0.324018701200016,"CEBPA;CNTF;SRC;CTR9;ILK;CBL;ADIPOR2;TXNDC17;OASL;PYCARD;GHR;IL1RL1;IRAK2;TMSB4X;CCL2;IL6R;APPL2;CCL16;JAK1;IL13RA1;STAT5A;IL15RA;STAT5B;STAT1;MX1;PTPN11;TRAF1;COMMD7;IL17RC;NFKBIA;CXCL10;CXCL11;HAX1;OAS1;OAS2;TOLLIP;OAS3;PLP2;MYD88;LIMS1;BIRC3","Low"
"6019","DNA Synthesis Involved in DNA Repair (GO:0000731)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"PARP10;RRM2B;ZBTB1;FAAP20","Low"
"6020","Alpha-Amino Acid Metabolic Process (GO:1901605)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"MTHFD1;KYAT3;KYAT1;ASS1","Low"
"6021","Antigen Processing and Presentation of Peptide Antigen via MHC Class II (GO:0002495)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"CTSL;CTSF;CTSD;DNM2","Low"
"6022","Glycerophospholipid Catabolic Process (GO:0046475)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"PRDX5;LIPC;ABHD16A;PNPLA6","Low"
"6023","in Utero Embryonic Development (GO:0001701)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"BMP2;CHD7;FGFR2;VEGFA","Low"
"6024","Regulation of Double-Strand Break Repair via Nonhomologous End Joining (GO:2001032)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"KMT5C;PNKP;ERCC6;WRAP53","Low"
"6025","Regulation of Kinase Activity (GO:0043549)","4/27",0.705124289412849,0.929689985377108,0,0,0.838788186081886,0.293056818527418,"PRDX3;NLRC5;HNRNPU;IRS2","Low"
"6026","Fibroblast Growth Factor Receptor Signaling Pathway (GO:0008543)","6/40",0.705810925825858,0.929689985377108,0,0,0.851053606973711,0.296513789611539,"CHURC1;RAB14;FLRT3;PTPN11;ZDHHC16;FGFR2","Low"
"6027","Negative Regulation of Immune System Process (GO:0002683)","8/53",0.710847126768047,0.929689985377108,0,0,0.857287410001946,0.292590378906508,"YWHAE;RNF115;ITCH;AMBP;TSPAN6;TNFAIP3;HMOX1;SMCR8","Low"
"6028","Protein O-linked Glycosylation (GO:0006493)","14/91",0.716192233315893,0.929689985377108,0,0,0.876608187134503,0.292617656135494,"POMT2;ST6GAL1;FKRP;GXYLT1;PLOD2;B3GALT6;POMGNT1;DPM1;C1GALT1C1;TET3;PGM3;RXYLT1;XXYLT1;OGT","Low"
"6029","Membrane Protein Proteolysis (GO:0033619)","5/34",0.717338194745458,0.929689985377108,0,0,0.831498074234973,0.276230203593618,"MBTPS1;HM13;CTSH;ADAM9;SPPL3","Low"
"6030","Negative Regulation of Microtubule Polymerization or Depolymerization (GO:0031111)","5/34",0.717338194745458,0.929689985377108,0,0,0.831498074234973,0.276230203593618,"ATXN7;CIB1;BMERB1;FKBP4;CLASP1","Low"
"6031","Regulation of JUN Kinase Activity (GO:0043506)","5/34",0.717338194745458,0.929689985377108,0,0,0.831498074234973,0.276230203593618,"DNAJA1;PTPN1;PDCD4;PKN1;MAP3K13","Low"
"6032","Regulation of Ras Protein Signal Transduction (GO:0046578)","5/34",0.717338194745458,0.929689985377108,0,0,0.831498074234973,0.276230203593618,"NOTCH2;NOTCH1;MAPKAP1;SPRY4;MFN2","Low"
"6033","Synaptic Vesicle Recycling (GO:0036465)","5/34",0.717338194745458,0.929689985377108,0,0,0.831498074234973,0.276230203593618,"CANX;AP3S1;PIP5K1C;RAB5A;GIT1","Low"
"6034","Cell-Cell Junction Organization (GO:0045216)","10/66",0.71738761616087,0.929689985377108,0,0,0.861043891855808,0.285986236656826,"PKHD1;TJP1;CXADR;SMAD3;CDHR3;PKP2;DSG2;PKP4;LIMS2;LIMS1","Low"
"6035","Cardiac Conduction (GO:0061337)","7/47",0.718908612770304,0.929689985377108,0,0,0.84390137146192,0.278505202005187,"YWHAE;SRC;CAV1;AKAP9;PKP2;DSG2;SLC9A1","Low"
"6036","Mitotic Nuclear Division (GO:0140014)","7/47",0.718908612770304,0.929689985377108,0,0,0.84390137146192,0.278505202005187,"EPS8;PPP1CC;KIF3B;ZNF207;INO80;CLASP1;WAPL","Low"
"6037","T Cell Differentiation in Thymus (GO:0033077)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"PNKD;ZFP36L2","Low"
"6038","Cell Communication by Electrical Coupling Involved in Cardiac Conduction (GO:0086064)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"PKP2;ATP1B1","Low"
"6039","Cell-Cell Junction Maintenance (GO:0045217)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"TJP1;FERMT2","Low"
"6040","Cellular Response to ATP (GO:0071318)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"HSP90B1;SSH1","Low"
"6041","Eye Photoreceptor Cell Differentiation (GO:0001754)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"MYO7A;VEGFA","Low"
"6042","Glutamine Family Amino Acid Catabolic Process (GO:0009065)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"ARHGAP11B;PRODH2","Low"
"6043","Glycogen Catabolic Process (GO:0005980)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"ATG3;STBD1","Low"
"6044","Histone mRNA Catabolic Process (GO:0071044)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"SSB;EXOSC10","Low"
"6045","Intracellular Potassium Ion Homeostasis (GO:0030007)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"YWHAE;ATP1B1","Low"
"6046","Medium-Chain Fatty Acid Metabolic Process (GO:0051791)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"OXSM;CRAT","Low"
"6047","miRNA Metabolic Process (GO:0010586)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"ZC3H12A;DICER1","Low"
"6048","Microvillus Assembly (GO:0030033)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"RAP2B;EZR","Low"
"6049","Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"EME2;HUS1B","Low"
"6050","Monosaccharide Transmembrane Transport (GO:0015749)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"SLC2A9;SLC50A1","Low"
"6051","Negative Regulation of Cartilage Development (GO:0061037)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"NR5A2;PTPN11","Low"
"6052","Negative Regulation of Peptidyl-Tyrosine Phosphorylation (GO:0050732)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"MVP;PARP14","Low"
"6053","Negative Regulation of Smooth Muscle Cell Migration (GO:0014912)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"IGFBP3;TRIB1","Low"
"6054","Negative Regulation of Toll-Like Receptor Signaling Pathway (GO:0034122)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"YWHAE;RNF115","Low"
"6055","Nuclear Pore Organization (GO:0006999)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"NDC1;FXR1","Low"
"6056","peptidyl-L-cysteine S-palmitoylation (GO:0018230)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"ZDHHC20;ZDHHC11","Low"
"6057","peptidyl-S-diacylglycerol-L-cysteine Biosynthetic Process From Peptidyl-Cysteine (GO:0018231)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"ZDHHC20;ZDHHC11","Low"
"6058","Phagolysosome Assembly (GO:0001845)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"RAB14;RAB7A","Low"
"6059","Positive Regulation of Isotype Switching (GO:0045830)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"KMT5C;HMCES","Low"
"6060","Positive Regulation of Macrophage Chemotaxis (GO:0010759)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"CCL2;MAPK1","Low"
"6061","Positive Regulation of Syncytium Formation by Plasma Membrane Fusion (GO:0060143)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"EHD1;FLOT1","Low"
"6062","Protein Homotrimerization (GO:0070207)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"PNPT1;SIGMAR1","Low"
"6063","Regulation of Coagulation (GO:0050818)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"PROCR;CAV1","Low"
"6064","Regulation of Dephosphorylation (GO:0035303)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"SRC;SMG5","Low"
"6065","Regulation of Endocytic Recycling (GO:2001135)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"EHD1;RAB11A","Low"
"6066","Regulation of Macromolecule Metabolic Process (GO:0060255)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"SSH1;TBC1D16","Low"
"6067","Regulation of Microtubule-Based Movement (GO:0060632)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"LAMP1;HDAC6","Low"
"6068","Response to Interleukin-6 (GO:0070741)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"PID1;NFKB1","Low"
"6069","Response to Muscle Stretch (GO:0035994)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"TTR;SLC9A1","Low"
"6070","Secretion (GO:0046903)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"TPD52;GUCA1B","Low"
"6071","Sphingoid Biosynthetic Process (GO:0046520)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"SPTLC3;SPTSSA","Low"
"6072","Sphingosine Biosynthetic Process (GO:0046512)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"SPTLC3;SPTSSA","Low"
"6073","Telomere Capping (GO:0016233)","2/14",0.720893504291138,0.929689985377108,0,0,0.803904428904429,0.263088865000698,"CTC1;RAD50","Low"
"6074","Cellular Response to Estradiol Stimulus (GO:0071392)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"H2AZ1;KAT5;EGFR","Low"
"6075","Cellular Response to Nerve Growth Factor Stimulus (GO:1990090)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"EHD1;RAPGEF1;CIB1","Low"
"6076","Negative Regulation of Biomineral Tissue Development (GO:0070168)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"ECM1;NOTCH1;GAS6","Low"
"6077","Positive Regulation of Epidermal Cell Differentiation (GO:0045606)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"MBD4;TRIM16;PLAAT4","Low"
"6078","Positive Regulation of Smoothened Signaling Pathway (GO:0045880)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"DLG5;ULK3;GAS8","Low"
"6079","Protein K48-linked Deubiquitination (GO:0071108)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"USP5;USP33;TNFAIP3","Low"
"6080","Regulation of Dendritic Spine Development (GO:0060998)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"DLG5;LLPH;ARF6","Low"
"6081","Regulation of Macrophage Chemotaxis (GO:0010758)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"MTUS1;CCL2;MAPK1","Low"
"6082","Regulation of Membrane Depolarization (GO:0003254)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"CFH;B2M;SMAD7","Low"
"6083","Regulation of Smooth Muscle Contraction (GO:0006940)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"SETD3;CTTN;CAV1","Low"
"6084","Sensory Perception of Pain (GO:0019233)","3/21",0.72496883545614,0.929689985377108,0,0,0.803847274846983,0.258538674472479,"SCN9A;CCL2;RETREG1","Low"
"6085","Aortic Valve Development (GO:0003176)","6/41",0.728917241437948,0.929689985377108,0,0,0.826687781296883,0.261394606515376,"SMAD2;EFNA1;BMP2;NOTCH1;RBPJ;TGFBR2","Low"
"6086","Detection of Chemical Stimulus Involved in Sensory Perception of Taste (GO:0050912)","6/41",0.728917241437948,0.929689985377108,0,0,0.826687781296883,0.261394606515376,"RTP4;RTP3;TAS2R30;TAS2R31;TAS2R13;TAS2R3","Low"
"6087","Odontogenesis (GO:0042476)","6/41",0.728917241437948,0.929689985377108,0,0,0.826687781296883,0.261394606515376,"HDAC2;BMP2;HDAC1;ANKRD11;INHBA;FGFR2","Low"
"6088","Regulation of Heart Rate by Cardiac Conduction (GO:0086091)","6/41",0.728917241437948,0.929689985377108,0,0,0.826687781296883,0.261394606515376,"YWHAE;SRC;CAV1;AKAP9;PKP2;DSG2","Low"
"6089","Embryonic Organ Development (GO:0048568)","11/73",0.729488970991661,0.929689985377108,0,0,0.855427704428298,0.269811333104216,"RBP4;CXCL8;KMT2A;ERCC3;COBL;RBPJ;TEAD1;NES;FGFR2;TGFBR2;ATF4","Low"
"6090","DNA Geometric Change (GO:0032392)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"HMGB2","Low"
"6091","DNA Strand Resection Involved in Replication Fork Processing (GO:0110025)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"RAD50","Low"
"6092","G Protein-Coupled Receptor Internalization (GO:0002031)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"GTF2H2","Low"
"6093","UV Protection (GO:0009650)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"XPA","Low"
"6094","Alcohol Catabolic Process (GO:0046164)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"AKR1D1","Low"
"6095","Aldehyde Catabolic Process (GO:0046185)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ALDH2","Low"
"6096","Amine Transport (GO:0015837)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"AQP9","Low"
"6097","Amino-Acid Betaine Transport (GO:0015838)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SLC22A5","Low"
"6098","Anterograde Axonal Protein Transport (GO:0099641)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"MAPK8IP3","Low"
"6099","Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class I (GO:0042590)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"HLA-A","Low"
"6100","Axo-Dendritic Protein Transport (GO:0099640)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"MAPK8IP3","Low"
"6101","Blood Coagulation, Intrinsic Pathway (GO:0007597)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"F12","Low"
"6102","Catecholamine Transport (GO:0051937)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SLC29A3","Low"
"6103","Cellular Response to Granulocyte Macrophage Colony-Stimulating Factor Stimulus (GO:0097011)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ZFP36L2","Low"
"6104","Cellular Response to Monoamine Stimulus (GO:0071868)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"TGM2","Low"
"6105","Chaperone Mediated Protein Folding Independent of Cofactor (GO:0051086)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"CCT7","Low"
"6106","Detection of Molecule of Bacterial Origin (GO:0032490)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"LBP","Low"
"6107","Dolichol Metabolic Process (GO:0019348)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"DPM1","Low"
"6108","Double-Strand Break Repair via Alternative Nonhomologous End Joining (GO:0097681)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"TOPBP1","Low"
"6109","Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PFKP","Low"
"6110","Fructose Metabolic Process (GO:0006000)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ALDOB","Low"
"6111","Fructose Transmembrane Transport (GO:0015755)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SLC2A9","Low"
"6112","Galactosylceramide Metabolic Process (GO:0006681)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"GAL3ST1","Low"
"6113","Ganglioside Catabolic Process (GO:0006689)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"NEU3","Low"
"6114","Hexose Catabolic Process (GO:0019320)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"LRP5","Low"
"6115","Hypotonic Response (GO:0006971)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"CAB39","Low"
"6116","Immunological Synapse Formation (GO:0001771)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"MSN","Low"
"6117","Intermediate Filament Bundle Assembly (GO:0045110)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PKP2","Low"
"6118","Intestinal Epithelial Cell Differentiation (GO:0060575)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SRC","Low"
"6119","Ketone Body Metabolic Process (GO:1902224)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"OXCT2","Low"
"6120","Kidney Epithelium Development (GO:0072073)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"KANK2","Low"
"6121","Lactate Metabolic Process (GO:0006089)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"LDHAL6B","Low"
"6122","Lens Fiber Cell Development (GO:0070307)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ATF4","Low"
"6123","Leukotriene D4 Biosynthetic Process (GO:1901750)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"GGT7","Low"
"6124","Macropinocytosis (GO:0044351)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PYCARD","Low"
"6125","Maintenance of Lens Transparency (GO:0036438)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"APBB2","Low"
"6126","Mammary Gland Epithelial Cell Differentiation (GO:0060644)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ID2","Low"
"6127","Methionine Metabolic Process (GO:0006555)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"MTHFD1","Low"
"6128","Mitochondrial Proton-Transporting ATP Synthase Complex Assembly (GO:0033615)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"TMEM70","Low"
"6129","Mitotic Nuclear Membrane Disassembly (GO:0007077)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"NEK6","Low"
"6130","Monosaccharide Metabolic Process (GO:0005996)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"FGGY","Low"
"6131","Natural Killer Cell Differentiation (GO:0001779)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"CLSTN1","Low"
"6132","Negative Regulation of B Cell Receptor Signaling Pathway (GO:0050859)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"LPXN","Low"
"6133","Negative Regulation of CD8-positive, Alpha-Beta T Cell Activation (GO:2001186)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SLC4A2","Low"
"6134","Negative Regulation of D-glucose Import (GO:0046325)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PID1","Low"
"6135","Negative Regulation of Actin Nucleation (GO:0051126)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PICK1","Low"
"6136","Negative Regulation of Double-Strand Break Repair via Nonhomologous End Joining (GO:2001033)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ERCC6","Low"
"6137","Negative Regulation of Glial Cell Apoptotic Process (GO:0034351)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"GAS6","Low"
"6138","Negative Regulation of Inflammatory Response to Wounding (GO:0106015)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"GIT1","Low"
"6139","Negative Regulation of Mitochondrial Fusion (GO:0010637)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"HUWE1","Low"
"6140","Negative Regulation of Neuron Projection Regeneration (GO:0070571)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"FIGNL2","Low"
"6141","Negative Regulation of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905064)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PDCD4","Low"
"6142","Negative Regulation of Vasoconstriction (GO:0045906)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"ITGB1","Low"
"6143","Neurotrophin TRK Receptor Signaling Pathway (GO:0048011)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"DDIT4","Low"
"6144","Nose Development (GO:0043584)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SKI","Low"
"6145","Nucleolar Chromatin Organization (GO:1990700)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"SMARCA5","Low"
"6146","Osmosensory Signaling Pathway (GO:0007231)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PYCARD","Low"
"6147","Peptidyl-Amino Acid Modification (GO:0018193)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"TTLL4","Low"
"6148","Peptidyl-Lysine Hydroxylation (GO:0017185)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PLOD2","Low"
"6149","Pericardium Development (GO:0060039)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"NOTCH1","Low"
"6150","Polysaccharide Metabolic Process (GO:0005976)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"EXT1","Low"
"6151","Positive Regulation of Arp2/3 Complex-Mediated Actin Nucleation (GO:2000601)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"WASF2","Low"
"6152","Positive Regulation of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"KLHL25","Low"
"6153","Positive Regulation of T-helper 2 Cell Cytokine Production (GO:2000553)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"RSAD2","Low"
"6154","Positive Regulation of Chromosome Condensation (GO:1905821)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"RAB33B","Low"
"6155","Positive Regulation of Dendritic Cell Chemotaxis (GO:2000510)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"GAS6","Low"
"6156","Positive Regulation of Dendritic Cell Cytokine Production (GO:0002732)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"MAVS","Low"
"6157","Positive Regulation of Endocytic Recycling (GO:2001137)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"EHD1","Low"
"6158","Positive Regulation of Epithelial Cell Apoptotic Process (GO:1904037)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PIAS4","Low"
"6159","Positive Regulation of Inositol Phosphate Biosynthetic Process (GO:0060732)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PTRH2","Low"
"6160","Positive Regulation of Leukocyte Differentiation (GO:1902107)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"XRCC6","Low"
"6161","Positive Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"PTPN11","Low"
"6162","Positive Regulation of Myeloid Cell Apoptotic Process (GO:0033034)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"CLSTN1","Low"
"6163","Positive Regulation of Neuron Projection Arborization (GO:0150012)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"MAP3K13","Low"
"6164","Positive Regulation of Neurotransmitter Transport (GO:0051590)","1/7",0.732563661577641,0.929689985377108,0,0,0.803961549665016,0.250196879680743,"DTNBP1","Low"
